folder,file_count
Falco_columbarius_pacificus,8
Falco_peregrinus_japonensis,8
Alauda_arvensis_japonica,8
Turdus_mandarinus_mandarinus,8
Hydroprogne_caspia,8
Larvivora_akahige,8
Aythya_valisineria,8
Anthus_gustavi,8
Terpsiphone_atrocaudata_atrocaudata,8
Botaurus_eurhythmus,8
Ardea_purpurea_manilensis,8
Platalea_leucorodia_leucorodia,8
Circus_melanoleucos,8
Leporidae,8
Monticola_gularis,8
Aegithalos_caudatus_caudatus,8
Ficedula,8
Alcedo_atthis_bengalensis,8
Vanellus_cinereus,8
Alauda_arvensis_intermedia,7
Vespertilio_sinensis,7
Motacilla_tschutschensis_plexa,7
Periparus_ater_insularis,7
Accipitriformes,7
Acanthis_flammea,7
Strix,7
Motacilla_tschutschensis_macronyx,7
Limnodromus_scolopaceus,7
Cuculus_micropterus,7
Capra,7
Aquila_nipalensis,7
Lanius_cristatus_cristatus,7
Mareca_americana_penelope,7
Myomorpha,7
Mustelidae,7
Geokichla_sibirica,7
Botaurus_stellaris,7
Stercorarius_pomarinus,7
Anthus_godlewskii,7
Nyctalus,6
Cisticola_juncidis_brunniceps,6
Limnodromus_semipalmatus,6
Vulpes_zerda,6
Sus_scrofa_domesticus,6
Charadrius_hiaticula,6
Amaurornis_phoenicurus_phoenicurus,6
Cervus_nippon_taiouanus,6
Mareca_americana,6
Crocidura_suaveolens,6
Cygnus_columbianus_bewickii,6
Limosa,6
Anser_anser,6
Apodemus,6
Cuculus_canorus_canorus,6
Ciconia_nigra,6
Struthio_camelus,6
Sterna,6
Mustela_sibirica_quelpartis,6
Parus_cinereus_dageletensis,6
Lama_pacos,6
Tadarida,6
Ailuropoda_melanoleuca,6
Hydrocoloeus_minutus,6
Phoenicurus_ochruros,6
Parus,6
Coturnix_japonica,6
Branta_bernicla,6
Emberizidae,6
Cervidae,6
Anser_anser_domesticus_cygnoides_domesticus,5
Pastor_roseus,5
Horornis_canturians_borealis,5
Pavo,5
Urile_pelagicus_pelagicus,5
Scolopax_rusticola,5
Ruminantia,5
Pipistrellus_abramus,5
Naemorhedus_caudatus_raddeanus,5
Jynx_torquilla_chinensis,5
Stercorarius_parasiticus,5
Streptopelia_decaocto,5
Eurystomus_orientalis_cyanocollis,5
Homo,5
Felidae,5
Gavia_arctica_viridigularis,5
Gallinago_megala,5
Felinae,5
Columbiformes,5
Crocidurinae,5
Anser_indicus,5
Lanius_phoenicuroides,5
Cygnus_atratus,5
Cygnus_columbianus,5
Calidris_pygmaea,5
Calandrella,5
Chloris_sinica_minor,5
Otus,5
Apodemus_peninsulae,5
Panthera_tigris,5
Helopsaltes_certhiola,5
Helopsaltes,5
Acinonyx_jubatus,5
Struthio,5
Zoothera_aurea_aurea,4
Zoothera_aurea_toratugumi,4
Hierococcyx_hyperythrus,4
Panthera_leo,4
Panthera_pardus,4
Netta_rufina,4
Nucifraga_caryocatactes,4
Ninox_japonica_japonica,4
Aquila_chrysaetos_japonica,4
Thinornis_dubius_curonicus,4
Lemur_catta,4
Vespertilionoidea,4
Dendrocopos_leucotos_takahashii,4
Carpodacus_roseus_roseus,4
Pteromys_volans_volans,4
Procyon_lotor,4
Piciformes,4
Pernis_ptilorhynchus_orientalis,4
Curruca_curruca,4
Branta_bernicla_nigricans,4
Hirundo,4
Jynx_torquilla,4
Elanus_caeruleus,4
Phylloscopus_collybita_tristis,4
Butorides_striata_amurensis,4
Pipistrellus,4
Locustellidae,4
Pluvialis,4
Sciuridae,4
Rhinopithecus_roxellana,4
Remiz,4
Branta_hutchinsii,4
Yungipicus,4
Murinae,4
Hemitragus_jemlahicus,4
Aquila_chrysaetos,4
Treron_sieboldii,4
Galliformes,4
Athene_noctua,4
Strigidae,4
Alaudala_cheleensis,4
Ursus_thibetanus,4
Amaurornis_phoenicurus,4
Ardenna_tenuirostris,4
Eremophila_alpestris_flava,4
Eudromias_morinellus,4
Asio_otus_otus,4
Grus_grus_monacha,4
Motacillidae,4
Gavia_adamsii,4
Gallinago_hardwickii,4
Laurasiatheria,3
Apodidae,3
Otus_sunia_stictonotus,3
Lasiopodomys_mandarinus,3
Apodemus_agrarius_chejuensis,3
Cuculus_micropterus_micropterus,3
Otis_tarda_dybowskii,3
Chrysolophus_pictus,3
Cervus_nippon_yakushimae,3
Hippotragus_niger,3
Gorsachius_goisagi,3
Accipiter_nisus_nisosimilis,3
Ursus_arctos,3
Sitta_villosa,3
Erinaceota,3
Dryocopus_martius,3
Phoenicopterus_roseus,3
Miniopterus_fuliginosus,3
Craseomys_rufocanus,3
Cricetinae,3
Delichon_lagopodum,3
Canis,3
Pycnonotidae,3
Cynomys_ludovicianus,3
Canis_familiaris_familiaris,3
Dama_dama,3
Leucogeranus_leucogeranus,3
Larus_canus_heinei,3
Larus_glaucoides,3
Hylobates_lar,3
Rallidae,3
Podicipedidae,3
Pandion_haliaetus_haliaetus,3
Otus_semitorques,3
Suricata_suricatta,3
Circus,3
Nymphicus_hollandicus,3
Thalasseus_bergii,3
Ovis,3
Passer,3
Phoca,3
Podiceps,3
Papio_hamadryas,3
Phylloscopus_xanthodryas,3
Rallus_aquaticus_korejewi,3
Turdus_chrysolaus_chrysolaus,3
Anthus_pratensis,3
Ficedula_parva,3
Falco_tinnunculus_interstinctus,3
Craseomys,3
Melopsittacus_undulatus,3
Antigone_canadensis,3
Melanitta,3
Rhinolophus_nippon,3
Ramphastos_toco,3
Aythya_baeri_nyroca,3
Streptopelia_tranquebarica_humilis,3
Branta_hutchinsii_minima,3
Stercorarius,3
Geokichla_sibirica_sibirica,3
Acrocephalidae,3
Hydrochoerus_hydrochaeris,3
Eremophila_alpestris,3
Synoicus_chinensis_chinensis,3
Astur_gentilis_schvedowi,3
Gaviiformes,3
Giraffa,3
Hydrobates_monorhis,3
Gaviidae,3
Certhia_familiaris_daurica,3
Charadrius,3
Meleagris_gallopavo_domesticus,3
Certhia_familiaris_orientalis,3
Vulpes_vulpes,3
Falconiformes,3
Cervini,3
Turdus_mupinensis,3
Haliaeetus_albicilla_albicilla,2
Haliaeetus,2
Zosterops_simplex_simplex,2
Amazona_ochrocephala,2
Turdus_eunomus_naumanni,2
Hippopotamus_amphibius,2
Turdus_ruficollis,2
Anthus_trivialis,2
Anthus_roseatus,2
Suidae,2
Sturnidae,2
Otaria_flavescens,2
Mus,2
Otus_semitorques_semitorques,2
Hydropotes,2
Eulipotyphla,2
Gelochelidon_nilotica,2
Aerodramus_brevirostris,2
Actitis,2
Panthera_tigris_altaica,2
Oenanthe_oenanthe,2
Onychoprion_aleuticus,2
Alcedinidae,2
Alaudidae,2
Alauda_gulgula,2
Alauda,2
Ursus_thibetanus_ussuricus,2
Ailurus_fulgens,2
Agapornis_roseicollis,2
Vespertilionini,2
Acridotheres_tristis,2
Zalophus_californianus,2
Treron_sieboldii_sieboldii,2
Sterna_hirundo_longipennis,2
Strigiformes,2
Athene_noctua_plumipes,2
Emberiza_melanocephala,2
Bison_bison,2
Laniidae,2
Lanius_cristatus_confusus,2
Eophona,2
Equus_asinus,2
Lagomorpha,2
Sciurus,2
Sitta_villosa_villosa,2
Bovidae,2
Somateria_spectabilis,2
Soricinae,2
Spheniscus_demersus,2
Spheniscus_humboldti,2
Rissa_tridactyla_pollicaris,2
Rousettus_aegyptiacus,2
Saimiri,2
Saxicola,2
Saxicola_ferreus,2
Rhinolophus,2
Rhinolophus_ferrumequinum_quelpartis,2
Camelus_bactrianus,2
Camelus_dromedarius,2
Phylloscopus_affinis,2
Phylloscopus_affinis_occisinensis,2
Pica,2
Nasua_nasua,2
Neophocaena,2
Nettapus_coromandelianus,2
Mustela_nivalis,2
Mustela_nivalis_mosanensis,2
Corvus_frugilegus_pastinator,2
Megaceryle_lugubris,2
Melanitta_fusca,2
Melopsittacus_undulatus_domesticus,2
Pipistrellus_pipistrellus,2
Aythya_collaris,2
Macaca_fuscata,2
Limosa_lapponica_baueri,2
Limosa_limosa_melanuroides,2
Locustella_lanceolata,2
Hypsipetes,2
Hystrix_cristata,2
Ichthyaetus_ichthyaetus,2
Lutra_cinerea,2
Psittaculidae,2
Psittacus_erithacus,2
Dicrurus_hottentottus,2
Dicrurus_leucophaeus,2
Calandrella_brachydactyla,2
Picus,2
Phodopus,2
Phoenicopterus,2
Pericrocotus,2
Monticola_solitarius_pandoo,2
Mergus,2
Delphinapterus_leucas,2
Crocuta_crocuta,2
Rallus_aquaticus,2
Potos_flavus,2
Primates,2
Procavia_capensis,2
Capra_hircus_hircus,2
Capra_ibex,2
Caprimulgus,2
Dendrocopos_hyperythrus_subrufinus,2
Carpodacus,2
Carpodacus_roseus_portenkoi,2
Larus_glaucoides_thayeri,2
Larus_hyperboreus_barrovianus,2
Tadarida_insignis,2
Spodiopsar,2
Arctocephalus_australis,2
Cnephaeus,2
Columba,2
Nomascus_gabriellae,2
Ciconia_ciconia,2
Ciconia_ciconia_ciconia,2
Nucifraga_caryocatactes_macrorhynchos,2
Numenius_phaeopus_variegatus,2
Numida_meleagris_domesticus,2
Nyctalus_aviator,2
Sus,2
Strix_nivicolum_ma,2
Acridotheres_tristis_tristis,2
Chroicocephalus_brunnicephalus,2
Ovis_aries_musimon,2
Helarctos_malayanus,2
Yangochiroptera,2
Alectoris_chukar,2
Clethrionomyini,2
Choloepus_didactylus,2
Aratinga_solstitialis,2
Anas_crecca_carolinensis,2
Anseriformes,2
Tragelaphus_oryx,2
Antigone_canadensis_canadensis,1
Threskiornis_aethiopicus,1
Gallus,1
Falco_sparverius,1
Felis,1
Vultur_gryphus,1
Clangula_hyemalis,1
Chlorocebus_aethiops,1
Chrysolophus,1
Haliastur_indus,1
Giraffa_reticulata,1
Gorilla_gorilla_gorilla,1
Gruidae,1
Gruiformes,1
Suliformes,1
Strix_aluco,1
Strix_uralensis_nikolskii,1
Struthioniformes,1
Motacilla_alba_baicalensis,1
Motacilla_cinerea_cinerea,1
Motacilla_flava_thunbergi,1
Notamacropus_rufogriseus,1
Clethrionomys,1
Cnephaeus_pachyomus,1
Coloeus,1
Otis_tarda,1
Nyctereutes,1
Nycticorax,1
Ara_ararauna,1
Ardenna,1
Tachyspiza_gularis_gularis,1
Tamiini,1
Tamiops,1
Tarsiger,1
Tauraco_violaceus,1
Terathopius_ecaudatus,1
Sylvilagus_floridanus,1
Symphalangus_syndactylus,1
Caprini,1
Carpodacus_erythrinus_grebnitskii,1
Leucosticte_arctoa_brunneonucha,1
Larus_schistisagus_glaucescens,1
Macropus_giganteus,1
Mandrillus_sphinx,1
Mareca,1
Mareca_strepera_falcata,1
Martes,1
Delphinus_delphis,1
Macaca_nemestrina,1
Macaca_nigra,1
Macaca_sinica,1
Cynomys,1
Castoridae,1
Canis_lupus,1
Pulsatrix_perspicillata,1
Pygoscelis,1
Pyrrhura_molinae,1
Psittacidae,1
Phascolarctos_cinereus,1
Phasianus,1
Phoca_vitulina,1
Cuon_alpinus_alpinus,1
Cyanopica,1
Cyanoptila_cyanomelana_intermedia,1
Cuculiformes,1
Mimus_polyglottos,1
Cricetidae,1
Cricetus,1
Crocidura_dsinezumi,1
Corvus_corax,1
Pelecanus_onocrotalus,1
Periparus,1
Petaurus_breviceps,1
Phalaropus,1
Cacatua,1
Calandrella_dukhunensis,1
Castor_fiber,1
Cavia_porcellus,1
Bucephala_albeola,1
Buteoninae,1
Buteo_buteo,1
Psittaciformes,1
Podiceps_grisegena_holbollii,1
Podicipediformes,1
Dicrurus_annectens,1
Hypsugo,1
Hystrix_africaeaustralis,1
Lophura_nycthemera,1
Loxia_curvirostra_japonica,1
Lynx_rufus,1
Locustella_davidi,1
Larvivora,1
Poecile_montanus,1
Poecile_rufescens,1
Pongo_pygmaeus,1
Sciurini,1
Axis_porcinus,1
Aythya_fuligula_marila,1
Rucervus_duvaucelii,1
Cercopithecus_neglectus,1
Menelikornis_leucotis,1
Myotis_macrodactylus,1
Myotis_petax,1
Myiopsitta_monachus,1
Mungos_mungo,1
Certhiidae,1
Cervinae,1
Parabuteo_unicinctus,1
Cecropis_daurica_japonica,1
Centropus_bengalensis,1
Phylloscopus_plumbeitarsus,1
Phylloscopus_ricketti,1
Phylloscopus_yunnanensis,1
Callithrix_jacchus,1
Phoenicopterus_ruber,1
Phoenicurus,1
Phoenicurus_fuliginosus,1
Saguinus_oedipus,1
Sciurinae,1
Remizidae,1
Riparia,1
Ramphastos_tucanus,1
Rattini,1
Rattus_rattus,1
Rattus_tanezumi,1
Regulus,1
Sorex_gracillimus,1
Sphenisciformes,1
Spheniscus,1
Spilopelia_chinensis_chinensis,1
Scotocercidae,1
Serinus_canaria,1
Sitta_europaea_bedfordi,1
Sittidae,1
Branta_canadensis_canadensis,1
Erithacus_rubecula,1
Euarchontoglires,1
Emberiza_spodocephala_spodocephala,1
Equus,1
Emberiza_rustica_latifascia,1
Lalage_melaschistos,1
Lanius_cristatus_lucionensis,1
Dicrurus_leucophaeus_leucogenis,1
Dryocopus_martius_martius,1
Dryocopus_pileatus,1
Emberiza_elegans_elegans,1
Dicrurus,1
Bubalus,1
Bubalus_bubalis,1
Balaeniceps_rex,1
Balaenoptera_physalus,1
Bos,1
Botaurus,1
Sterna_hirundo_tibetana,1
Streptopelia_tranquebarica,1
Ateles_geoffroyi,1
Stercorarius_longicaudus,1
Zapornia_fusca_erythrothorax,1
Zapornia_pusilla,1
Zapornia_pusilla_pusilla,1
Trichechidae,1
Trichoglossus_haematodus,1
Odontoceti,1
Oenanthe_isabellina,1
Chlidonias_niger,1
Chloris,1
Passerculus_sandwichensis,1
Pavo_muticus,1
Cervus,1
Cervus_canadensis_macneilli,1
Cetacea,1
Ceratotherium_simum,1
Ceratotherium_simum_simum,1
Arundinax_aedon_rufescens,1
Grus,1
Gypaetus_barbatus_barbatus,1
Geopelia_cuneata,1
Giraffa_giraffa,1
Horornis_canturians_canturians,1
Hyaena_hyaena,1
Eudocimus_ruber,1
Eudynamys_scolopaceus,1
Eumetopias_jubatus_jubatus,1
Euphractus_sexcinctus,1
Equus_ferus_przewalskii,1
Equus_quagga,1
Equus_quagga_boehmi,1
Astur_gentilis_gentilis,1
Spilornis_cheela,1
Pan_troglodytes,1
Otus_megalotis,1
Otus_semitorques_ussuriensis,1
Oryx_dammah,1
Oryx_gazella,1
Osphranter_robustus,1
Ovis_dalli,1
Murina_ussuriensis,1
Moschus_moschiferus,1
Motacilla_alba_alba,1
Syncerus_caffer,1
Synoicus_chinensis,1
Tachyspiza,1
Anser_caerulescens_albifrons,1
Anser_anser_rubrirostris,1
Suina,1
Sula_leucogaster,1
Apus_nipalensis,1
Aquila,1
Anthropoides_virgo,1
Anthus_hodgsoni_hodgsoni,1
Anser_anser_cygnoides,1
Ursidae,1
Herpestidae,1
Heteralocha_acutirostris,1
Heterocephalus_glaber,1
Tyto,1
Turdus_pilaris,1
Osphranter_rufus,1
